HPM20_mon output - time series of water dynamics - units: depth/thickness: m or m/y; time: y 
 time  annWTD   annPPT   annSnow  annRain  annSublim  annAET   annPET   annRUNOFF annRUNON   annNetWatIn  
  149.5    0.04000    0.42085    0.20542    0.21471    0.07596    0.00000    0.00000    0.00000    0.00000    0.00000   
  150.5    0.04000    0.45055    0.22098    0.23043    0.07749    0.00000    0.00000    0.00000    0.00000    0.00000   
  151.5    0.04000    0.45846    0.22780    0.22758    0.07936    0.00000    0.00000    0.00000    0.00000    0.00000   
  152.5    0.04000    0.49041    0.19825    0.29522    0.08046    0.00000    0.00000    0.00000    0.00000    0.00000   
  153.5    0.04000    0.45417    0.20185    0.25527    0.06610    0.00000    0.00000    0.00000    0.00000    0.00000   
  154.5    0.04000    0.50462    0.22390    0.28402    0.07630    0.00000    0.00000    0.00000    0.00000    0.00000   
  155.5    0.04000    0.43785    0.14826    0.28745    0.04235    0.00000    0.00000    0.00000    0.00000    0.00000   
  156.5    0.04000    0.39686    0.18070    0.21816    0.03825    0.00000    0.00000    0.00000    0.00000    0.00000   
  157.5    0.04000    0.47818    0.24543    0.23565    0.07307    0.00000    0.00000    0.00000    0.00000    0.00000   
  158.5    0.04000    0.46837    0.19625    0.27353    0.07351    0.00000    0.00000    0.00000    0.00000    0.00000   
  159.5    0.04000    0.49731    0.24680    0.25453    0.07056    0.00000    0.00000    0.00000    0.00000    0.00000   
  160.5    0.04000    0.44795    0.20279    0.24793    0.07077    0.00000    0.00000    0.00000    0.00000    0.00000   
  161.5    0.04000    0.55764    0.20919    0.35200    0.04584    0.00000    0.00000    0.00000    0.00000    0.00000   
  162.5    0.04000    0.46077    0.21772    0.24270    0.07339    0.00000    0.00000    0.00000    0.00000    0.00000   
  163.5    0.04000    0.44104    0.20947    0.23249    0.07101    0.00000    0.00000    0.00000    0.00000    0.00000   
  164.5    0.04000    0.49619    0.21710    0.28131    0.06945    0.00000    0.00000    0.00000    0.00000    0.00000   
  165.5    0.04000    0.44012    0.19855    0.24170    0.06093    0.00000    0.00000    0.00000    0.00000    0.00000   
  166.5    0.04000    0.47252    0.19289    0.27944    0.05889    0.00000    0.00000    0.00000    0.00000    0.00000   
  167.5    0.04000    0.37142    0.21416    0.15326    0.07666    0.00000    0.00000    0.00000    0.00000    0.00000   
  168.5    0.04000    0.45901    0.20810    0.25295    0.06625    0.00000    0.00000    0.00000    0.00000    0.00000   
  169.5    0.04000    0.53378    0.21248    0.32555    0.06594    0.00000    0.00000    0.00000    0.00000    0.00000   
  170.5    0.04000    0.43059    0.21240    0.21530    0.06457    0.00000    0.00000    0.00000    0.00000    0.00000   
  171.5    0.04000    0.48567    0.19648    0.28952    0.06553    0.00000    0.00000    0.00000    0.00000    0.00000   
  172.5   -0.02673    0.49300    0.17328    0.32222    0.06857    0.22049    0.37553    0.40335    0.22974    0.00000   
  173.5   -0.01923    0.45831    0.16628    0.29212    0.07985    0.29778    0.37762    0.49310    0.38818    0.00000   
  174.5   -0.02270    0.51490    0.16931    0.34707    0.06924    0.33568    0.40492    0.33961    0.24836    0.00000   
  175.5   -0.02375    0.50770    0.21532    0.28936    0.05894    0.30593    0.36486    0.34244    0.20962    0.00000   
  176.5   -0.02183    0.47598    0.27037    0.20949    0.06692    0.22350    0.35504    0.46732    0.31696    0.00000   
  177.5   -0.01518    0.48563    0.23239    0.25598    0.07348    0.32735    0.40625    0.58577    0.46596    0.00000   
  178.5   -0.00920    0.35538    0.16368    0.19183    0.06647    0.29273    0.37310    0.49255    0.46598    0.00000   
  179.5   -0.02330    0.47338    0.22031    0.25379    0.06759    0.20709    0.33735    0.41373    0.23465    0.00000   
  180.5   -0.01953    0.44458    0.23046    0.21533    0.07422    0.21041    0.35059    0.61810    0.44574    0.00000   
  181.5   -0.01992    0.43776    0.15827    0.27912    0.07380    0.30153    0.37532    0.55137    0.42375    0.00000   
  182.5   -0.01319    0.45607    0.16882    0.28628    0.05807    0.31863    0.38355    0.51691    0.46567    0.00000   
  183.5   -0.02103    0.46207    0.22052    0.24188    0.07873    0.21218    0.36659    0.52862    0.36147    0.00000   
  184.5   -0.02300    0.51224    0.22529    0.28904    0.07718    0.21658    0.36407    0.46715    0.25138    0.00000   
  185.5   -0.01799    0.50263    0.25849    0.24673    0.07064    0.20042    0.33942    0.67572    0.46549    0.00000   
  186.5   -0.02127    0.42396    0.18557    0.23566    0.06206    0.29023    0.35229    0.44917    0.34812    0.00000   
  187.5   -0.02123    0.48121    0.21432    0.26846    0.07995    0.31488    0.40534    0.16949    0.10126    0.00000   
