"years_forcing","months_forcing","precipforc_1","tsaforc_1"
6564,4,0.00796705,-19.2313
6564,5,0.0102108,-5.76646
6564,6,0.0227596,5.55679
6564,7,0.0442579,10.9771
6564,8,0.0436515,9.51075
6564,9,0.0249277,-0.820899
6564,10,0.0232663,-14.799
6564,11,0.00366703,-31.5279
6564,12,0.00756213,-33.7646
6563,1,0.0108809,-32.3617
6563,2,0.00478165,-38.4172
6563,3,0.00497793,-30.766
6563,4,0.00923916,-19.9184
6563,5,0.0117924,-9.55961
6563,6,0.0295317,4.77462
6563,7,0.0298805,13.6644
6563,8,0.0253502,8.60325
6563,9,0.027148,1.93057
6563,10,0.0184018,-11.0547
6563,11,0.00624412,-27.6223
6563,12,0.0100081,-30.472
6562,1,0.00457026,-37.5036
6562,2,0.00513114,-41.304
6562,3,0.004211,-36.3056
6562,4,0.0054424,-22.8805
6562,5,0.00986712,-7.87016
6562,6,0.0281161,4.68883
6562,7,0.0338632,11.1957
6562,8,0.0382757,9.24818
6562,9,0.0181195,-1.69614
6562,10,0.0149133,-13.0177
6562,11,0.00757773,-33.9568
6562,12,0.00976187,-33.2128
6561,1,0.00409324,-37.7504
6561,2,0.00411069,-44.0001
6561,3,0.00921532,-28.4053
6561,4,0.00525735,-24.0605
6561,5,0.0105071,-8.50852
6561,6,0.0257006,4.67831
6561,7,0.0307059,12.2347
6561,8,0.0284654,10.499
6561,9,0.0304482,-0.669074
6561,10,0.0141688,-5.63459
6561,11,0.0164907,-21.2431
6561,12,0.00976476,-29.5184
6560,1,0.00280372,-42.9647
6560,2,0.00968082,-29.4841
6560,3,0.00826578,-21.5829
6560,4,0.0102644,-18.056
6560,5,0.0150458,-6.32194
6560,6,0.00882985,5.23309
6560,7,0.0286441,10.8781
6560,8,0.0250845,9.2584
6560,9,0.0233102,-0.438026
6560,10,0.0195912,-10.7236
6560,11,0.00994281,-26.0035
6560,12,0.00603813,-39.0117
6559,1,0.0132234,-26.8067
6559,2,0.00491813,-32.3193
6559,3,0.00777739,-30.2945
6559,4,0.0109483,-19.013
6559,5,0.00744768,-11.0663
6559,6,0.02315,2.91256
6559,7,0.0314112,10.0514
6559,8,0.0245372,7.69123
6559,9,0.0272806,-3.40174
6559,10,0.0173043,-14.6628
6559,11,0.0112819,-32.1816
6559,12,0.006797,-33.3371
6558,1,0.00770765,-34.6613
6558,2,0.00565968,-35.7069
6558,3,0.00777334,-24.6616
6558,4,0.00721545,-23.2763
6558,5,0.00912508,-8.18611
6558,6,0.0201845,2.8301
6558,7,0.0288416,12.0083
6558,8,0.00978973,10.9419
6558,9,0.0272183,-0.219947
6558,10,0.0244201,-9.93439
6558,11,0.0074188,-29.3566
6558,12,0.00654972,-39.8158
6557,1,0.00592434,-42.3012
6557,2,0.0103105,-33.9978
6557,3,0.00781369,-28.233
6557,4,0.00986282,-14.8067
6557,5,0.00783905,-7.00721
6557,6,0.023641,4.96633
6557,7,0.0417018,11.1949
6557,8,0.0465721,9.50242
6557,9,0.0313896,0.500939
6557,10,0.0185605,-13.2831
6557,11,0.00753102,-30.3168
6557,12,0.00618185,-36.0227
6556,1,0.00558568,-38.739
6556,2,0.0162483,-29.5913
6556,3,0.00731046,-26.7103
6556,4,0.00692786,-19.4984
6556,5,0.0141851,-6.02891
6556,6,0.0199407,4.10879
6556,7,0.0308645,10.0659
6556,8,0.0215858,10.4472
6556,9,0.020624,-1.37839
6556,10,0.0235751,-8.19712
6556,11,0.00691753,-18.5822
6556,12,0.00656474,-29.9321
6555,1,0.00682275,-34.5509
6555,2,0.00562025,-33.4424
6555,3,0.0118845,-24.914
6555,4,0.00856342,-23.5697
6555,5,0.0064823,-7.34693
6555,6,0.0144561,4.97536
6555,7,0.0415852,10.7882
6555,8,0.0247184,9.19318
6555,9,0.0199112,2.33956
6555,10,0.0218424,-6.43222
6555,11,0.0085693,-27.7292
6555,12,0.00328586,-36.6964
6554,1,0.00600633,-35.6943
6554,2,0.00765623,-30.4963
6554,3,0.00555893,-27.6113
6554,4,0.00617686,-21.5885
6554,5,0.011108,-7.74162
6554,6,0.0198747,3.14941
6554,7,0.0381707,10.3053
6554,8,0.0318908,9.00504
6554,9,0.0192137,2.47326
6554,10,0.01534,-10.5409
6554,11,0.0137626,-13.9711
6554,12,0.00867626,-34.7599
6553,1,0.00629075,-36.0213
6553,2,0.0132575,-32.0009
6553,3,0.00620947,-33.578
6553,4,0.0130596,-19.2722
6553,5,0.00880214,-9.7573
6553,6,0.0202463,2.25515
6553,7,0.0331142,10.2438
6553,8,0.0159626,10.6191
6553,9,0.0319951,-2.93006
6553,10,0.0163748,-16.1089
6553,11,0.00827921,-27.2134
6553,12,0.0100539,-22.2594
6552,1,0.00435358,-38.7162
6552,2,0.00870687,-29.4795
6552,3,0.00762863,-33.6041
6552,4,0.00962148,-21.5326
6552,5,0.0134202,-9.85761
6552,6,0.0125524,3.82983
6552,7,0.0347682,11.9784
6552,8,0.0171702,10.0934
6552,9,0.0224851,1.13445
6552,10,0.017166,-11.8375
6552,11,0.0132662,-23.4276
6552,12,0.00577404,-32.8786
6551,1,0.00548219,-28.9928
6551,2,0.00956656,-28.9999
6551,3,0.0147009,-23.975
6551,4,0.00807237,-23.3703
6551,5,0.0102541,-7.39616
6551,6,0.0178695,4.86266
6551,7,0.0191519,11.7339
6551,8,0.0271028,6.42408
6551,9,0.018678,2.83508
6551,10,0.0181382,-10.8543
